epoch,train_loss,val_loss,val_dice,val_iou,val_accuracy
0,0.2333,0.2526,0.7945,0.7351,0.9757
1,0.1641,0.2026,0.8017,0.7473,0.9784
2,0.1440,0.1466,0.8210,0.7665,0.9784
3,0.1224,0.1675,0.8092,0.7470,0.9742
4,0.1135,0.1261,0.8425,0.7904,0.9799
5,0.1126,0.1198,0.8479,0.7969,0.9811
6,0.1025,0.1258,0.8422,0.7861,0.9788
7,0.0978,0.0986,0.8805,0.8342,0.9836
8,0.0992,0.1019,0.8729,0.8262,0.9812
9,0.0954,0.1115,0.8689,0.8209,0.9822
10,0.0890,0.1143,0.8480,0.8012,0.9824
11,0.0890,0.1040,0.8688,0.8215,0.9832
12,0.0890,0.1001,0.8720,0.8265,0.9835
13,0.0820,0.1218,0.8356,0.7871,0.9840
14,0.0777,0.0909,0.8810,0.8365,0.9851
15,0.0830,0.1068,0.8575,0.8133,0.9826
16,0.0828,0.1207,0.8574,0.8098,0.9826
17,0.0781,0.1018,0.8793,0.8328,0.9832
18,0.0790,0.1047,0.8591,0.8143,0.9856
19,0.0702,0.0882,0.8863,0.8429,0.9854
