epoch,train_loss,val_loss,val_dice,val_iou,val_accuracy
0,0.3600,0.3677,0.7284,0.6587,0.9590
1,0.2236,0.3216,0.7078,0.6389,0.9519
2,0.1811,0.2510,0.7999,0.7421,0.9763
3,0.1657,0.2377,0.8159,0.7600,0.9781
4,0.1532,0.1564,0.8110,0.7570,0.9791
5,0.1378,0.1426,0.8186,0.7625,0.9757
6,0.1230,0.1161,0.8448,0.7928,0.9806
7,0.1198,0.1330,0.8301,0.7774,0.9793
8,0.1106,0.1132,0.8516,0.7999,0.9811
9,0.1050,0.1201,0.8440,0.7938,0.9821
10,0.1111,0.1331,0.8285,0.7749,0.9796
11,0.1045,0.1086,0.8532,0.8034,0.9825
12,0.1066,0.1137,0.8608,0.8076,0.9809
13,0.1031,0.1146,0.8496,0.8002,0.9828
14,0.1000,0.1104,0.8543,0.8063,0.9831
15,0.0942,0.1216,0.8336,0.7834,0.9801
16,0.0972,0.1483,0.8245,0.7700,0.9739
17,0.0927,0.1064,0.8709,0.8237,0.9850
18,0.0956,0.1058,0.8569,0.8091,0.9843
19,0.0958,0.1056,0.8599,0.8121,0.9845
